Image Number,Image,Predication Number,Label Name,Confidence,Pixel Area Mask,cm Area Mask,Pixel Length,cm Length ,Pixel Width,cm Width ,Box Rotation Degrees,Validation Number,Pixel Area Validation,cm Area Validaiton,Pixel Length Validation,Pixel Width Validation,Box Rotation Degrees Validation,Pixel Area Accuracy %,Pixel Length Accuracy %,Pixel Width Accuracy %,Box Rotation Degrees Accuracy %,IOU %,Prediction,Validation,Prediction & Validation,Predication No Validation,Validation No Predication
334,NSW275624,2,fullLeaf,73,313566,348.41,1050,35,382,12.73,0,,,,,,,,,,,,1,0,0,0,0
562,NSW528779,1,fullLeaf,79,198995,221.11,776,25.87,352,11.73,150,,,,,,,,,,,,1,0,0,0,0
265,NSW200335,2,fullLeaf,87,179424,199.36,876,29.2,263,8.77,0,,,,,,,,,,,,1,0,0,0,0
350,NSW363303,1,fullLeaf,75,170823,189.8,756,25.2,308,10.27,12,,,,,,,,,,,,1,0,0,0,0
333,NSW274682,1,fullLeaf,86,164515,182.79,662,22.07,360,12,7,,,,,,,,,,,,1,0,0,0,0
1195,NSW931040,1,fullLeaf,89,152517,169.46,750,25,294,9.8,149,1,165192,183,838,290,151,92,89,101,99,92,1,1,1,0,0
1173,NSW895792,2,fullLeaf,82,147528,163.92,638,21.27,303,10.1,0,,,,,,,,,,,,1,0,0,0,0
1195,NSW931040,2,fullLeaf,79,144112,160.12,764,25.47,291,9.7,167,,,,,,,,,,,,1,0,0,1,0
1071,NSW833622,1,fullLeaf,95,138621,154.02,798,26.6,253,8.43,160,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,4,fullLeaf,81,137265,152.52,348,11.6,482,16.07,359,,,,,,,,,,,,1,0,0,0,0
1140,NSW837584,1,fullLeaf,77,135062,150.07,764,25.47,242,8.07,1,,,,,,,,,,,,1,0,0,0,0
266,NSW200340,1,fullLeaf,93,134250,149.17,644,21.47,298,9.93,7,,,,,,,,,,,,1,0,0,0,0
1071,NSW833622,2,fullLeaf,90,132568,147.3,806,26.87,241,8.03,10,,,,,,,,,,,,1,0,0,0,0
1005,NSW787301,2,fullLeaf,74,131140,145.71,584,19.47,302,10.07,29,,,,,,,,,,,,1,0,0,0,0
1173,NSW895792,1,fullLeaf,93,123188,136.88,604,20.13,277,9.23,147,,,,,,,,,,,,1,0,0,0,0
1142,NSW840844,2,fullLeaf,76,121703,135.23,446,14.87,352,11.73,131,,,,,,,,,,,,1,0,0,0,0
1005,NSW787301,1,fullLeaf,93,121167,134.63,578,19.27,278,9.27,17,,,,,,,,,,,,1,0,0,0,0
1193,NSW931038,2,fullLeaf,92,114170,126.86,612,20.4,255,8.5,111,,,,,,,,,,,,1,0,0,0,0
1000,NSW784562,1,fullLeaf,94,111648,124.05,568,18.93,264,8.8,4,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,2,fullLeaf,97,107631,119.59,530,17.67,269,8.97,141,,,,,,,,,,,,1,0,0,0,0
1000,NSW784562,4,fullLeaf,73,107266,119.18,596,19.87,259,8.63,117,,,,,,,,,,,,1,0,0,0,0
266,NSW200340,4,fullLeaf,79,106693,118.55,578,19.27,287,9.57,161,,,,,,,,,,,,1,0,0,0,0
414,NSW443589,2,fullLeaf,76,104844,116.49,488,16.27,331,11.03,132,,,,,,,,,,,,1,0,0,0,0
310,NSW267179,1,fullLeaf,95,103585,115.09,684,22.8,209,6.97,153,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,2,fullLeaf,91,98421,109.36,472,15.73,280,9.33,10,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,1,fullLeaf,98,97645,108.49,488,16.27,276,9.2,134,,,,,,,,,,,,1,0,0,0,0
414,NSW443589,1,fullLeaf,96,97596,108.44,454,15.13,305,10.17,44,,,,,,,,,,,,1,0,0,0,0
1072,NSW833659,2,fullLeaf,92,96800,107.56,506,16.87,252,8.4,127,,,,,,,,,,,,1,0,0,0,0
671,NSW528935,2,fullLeaf,88,95418,106.02,382,12.73,333,11.1,6,,,,,,,,,,,,1,0,0,0,0
994,NSW772337,1,fullLeaf,77,90188,100.21,462,15.4,257,8.57,131,,,,,,,,,,,,1,0,0,0,0
334,NSW275624,1,fullLeaf,82,89859,99.84,450,15,296,9.87,31,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,5,fullLeaf,73,89740,99.71,456,15.2,297,9.9,154,,,,,,,,,,,,1,0,0,0,0
563,NSW528780,2,fullLeaf,96,89096,99,510,17,234,7.8,144,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,3,fullLeaf,83,88668,98.52,450,15,274,9.13,60,,,,,,,,,,,,1,0,0,0,0
999,NSW784475,1,fullLeaf,77,88174,97.97,518,17.27,230,7.67,0,,,,,,,,,,,,1,0,0,0,0
1072,NSW833659,1,fullLeaf,93,86390,95.99,482,16.07,242,8.07,155,,,,,,,,,,,,1,0,0,0,0
916,NSW533054,2,fullLeaf,95,86290,95.88,430,14.33,268,8.93,20,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,4,fullLeaf,92,85453,94.95,426,14.2,297,9.9,33,,,,,,,,,,,,1,0,0,0,0
1169,NSW892642,2,fullLeaf,70,84745,94.16,494,16.47,241,8.03,73,,,,,,,,,,,,1,0,0,0,0
1126,NSW836080,2,fullLeaf,82,84079,93.42,500,16.67,237,7.9,48,,,,,,,,,,,,1,0,0,0,0
1196,NSW931042,2,fullLeaf,93,83647,92.94,440,14.67,253,8.43,13,,,,,,,,,,,,1,0,0,0,0
274,NSW208578,1,fullLeaf,94,83554,92.84,452,15.07,250,8.33,7,,,,,,,,,,,,1,0,0,0,0
1098,NSW835467,2,fullLeaf,90,81717,90.8,464,15.47,249,8.3,162,,,,,,,,,,,,1,0,0,0,0
1152,NSW844339,2,fullLeaf,96,81691,90.77,488,16.27,237,7.9,32,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,1,fullLeaf,93,79558,88.4,454,15.13,271,9.03,47,,,,,,,,,,,,1,0,0,0,0
634,NSW528885,2,fullLeaf,90,78656,87.4,380,12.67,275,9.17,83,,,,,,,,,,,,1,0,0,0,0
952,NSW635411,1,fullLeaf,92,78022,86.69,430,14.33,239,7.97,0,,,,,,,,,,,,1,0,0,0,0
309,NSW267176,1,fullLeaf,96,77709,86.34,478,15.93,227,7.57,25,,,,,,,,,,,,1,0,0,0,0
671,NSW528935,4,fullLeaf,76,77467,86.07,376,12.53,272,9.07,14,,,,,,,,,,,,1,0,0,0,0
448,NSW506910,4,fullLeaf,92,77033,85.59,498,16.6,211,7.03,113,,,,,,,,,,,,1,0,0,0,0
998,NSW784165,1,fullLeaf,98,76722,85.25,500,16.67,223,7.43,6,,,,,,,,,,,,1,0,0,0,0
1064,NSW833595,3,fullLeaf,92,76256,84.73,456,15.2,234,7.8,118,,,,,,,,,,,,1,0,0,0,0
448,NSW506910,3,fullLeaf,93,75982,84.42,530,17.67,203,6.77,15,,,,,,,,,,,,1,0,0,0,0
265,NSW200335,3,fullLeaf,75,74566,82.85,610,20.33,181,6.03,166,,,,,,,,,,,,1,0,0,0,0
1152,NSW844339,1,fullLeaf,97,73597,81.77,490,16.33,226,7.53,124,,,,,,,,,,,,1,0,0,0,0
1126,NSW836080,4,fullLeaf,78,72560,80.62,442,14.73,232,7.73,98,,,,,,,,,,,,1,0,0,0,0
1195,NSW931040,3,fullLeaf,76,71638,79.6,436,14.53,221,7.37,48,,,,,,,,,,,,1,0,0,1,0
876,NSW529881,1,fullLeaf,99,71433,79.37,518,17.27,179,5.97,3,,,,,,,,,,,,1,0,0,0,0
1152,NSW844339,3,fullLeaf,73,71369,79.3,432,14.4,238,7.93,116,,,,,,,,,,,,1,0,0,0,0
1193,NSW931038,3,fullLeaf,90,71258,79.18,514,17.13,198,6.6,156,,,,,,,,,,,,1,0,0,0,0
1155,NSW845310,5,fullLeaf,92,71132,79.04,470,15.67,249,8.3,142,,,,,,,,,,,,1,0,0,0,0
634,NSW528885,1,fullLeaf,95,70959,78.84,356,11.87,270,9,9,,,,,,,,,,,,1,0,0,0,0
671,NSW528935,1,fullLeaf,94,70872,78.75,302,10.07,299,9.97,359,,,,,,,,,,,,1,0,0,0,0
36,NSW129351,1,fullLeaf,87,69414,77.13,386,12.87,232,7.73,41,,,,,,,,,,,,1,0,0,0,0
1089,NSW835264,1,fullLeaf,96,69232,76.92,468,15.6,230,7.67,123,2,65783,73,482,206,123,105,97,112,100,91,1,1,1,0,0
665,NSW528925,2,fullLeaf,85,68038,75.6,396,13.2,241,8.03,89,,,,,,,,,,,,1,0,0,0,0
876,NSW529881,3,fullLeaf,96,67929,75.48,496,16.53,179,5.97,147,,,,,,,,,,,,1,0,0,0,0
448,NSW506910,1,fullLeaf,98,67906,75.45,448,14.93,202,6.73,17,,,,,,,,,,,,1,0,0,0,0
827,NSW529245,2,fullLeaf,89,67908,75.45,424,14.13,213,7.1,6,,,,,,,,,,,,1,0,0,0,0
876,NSW529881,2,fullLeaf,98,67660,75.18,532,17.73,174,5.8,144,,,,,,,,,,,,1,0,0,0,0
662,NSW528920,2,fullLeaf,91,67023,74.47,318,10.6,287,9.57,165,,,,,,,,,,,,1,0,0,0,0
270,NSW206485,3,fullLeaf,93,66589,73.99,384,12.8,235,7.83,116,,,,,,,,,,,,1,0,0,0,0
1161,NSW870110,2,fullLeaf,97,65400,72.67,450,15,204,6.8,111,,,,,,,,,,,,1,0,0,0,0
778,NSW529167,2,fullLeaf,92,65042,72.27,494,16.47,183,6.1,145,,,,,,,,,,,,1,0,0,0,0
790,NSW529183,1,fullLeaf,83,64995,72.22,382,12.73,232,7.73,10,,,,,,,,,,,,1,0,0,0,0
265,NSW200335,1,fullLeaf,97,64989,72.21,576,19.2,149,4.97,4,,,,,,,,,,,,1,0,0,0,0
1064,NSW833595,1,fullLeaf,99,64769,71.97,452,15.07,203,6.77,152,,,,,,,,,,,,1,0,0,0,0
1155,NSW845310,2,fullLeaf,96,63709,70.79,416,13.87,211,7.03,52,,,,,,,,,,,,1,0,0,0,0
493,NSW528124,1,fullLeaf,76,63627,70.7,370,12.33,219,7.3,94,,,,,,,,,,,,1,0,0,0,0
270,NSW206485,2,fullLeaf,93,63514,70.57,392,13.07,236,7.87,54,,,,,,,,,,,,1,0,0,0,0
1169,NSW892642,1,fullLeaf,78,63368,70.41,532,17.73,213,7.1,14,,,,,,,,,,,,1,0,0,0,0
1155,NSW845310,4,fullLeaf,94,63003,70,396,13.2,218,7.27,108,,,,,,,,,,,,1,0,0,0,0
915,NSW533053,1,fullLeaf,97,62839,69.82,390,13,219,7.3,42,,,,,,,,,,,,1,0,0,0,0
998,NSW784165,3,fullLeaf,83,62679,69.64,444,14.8,205,6.83,144,,,,,,,,,,,,1,0,0,0,0
914,NSW533052,4,fullLeaf,92,62658,69.62,408,13.6,236,7.87,163,,,,,,,,,,,,1,0,0,0,0
1089,NSW835264,2,fullLeaf,95,62507,69.45,452,15.07,191,6.37,159,1,58534,65,440,189,161,107,103,101,99,92,1,1,1,0,0
262,NSW200105,7,fullLeaf,90,62213,69.13,480,16,185,6.17,16,,,,,,,,,,,,1,0,0,0,0
917,NSW533055,1,fullLeaf,78,61908,68.79,334,11.13,245,8.17,118,,,,,,,,,,,,1,0,0,0,0
1024,NSW805304,2,fullLeaf,92,61841,68.71,370,12.33,243,8.1,150,1,48968,54,396,196,152,126,93,124,99,78,1,1,1,0,0
977,NSW732419,1,fullLeaf,88,61398,68.22,434,14.47,219,7.3,139,,,,,,,,,,,,1,0,0,0,0
977,NSW732419,2,fullLeaf,82,61369,68.19,444,14.8,196,6.53,126,,,,,,,,,,,,1,0,0,0,0
658,NSW528915,2,fullLeaf,95,61336,68.15,370,12.33,223,7.43,1,,,,,,,,,,,,1,0,0,0,0
916,NSW533054,3,fullLeaf,95,61177,67.97,382,12.73,239,7.97,69,,,,,,,,,,,,1,0,0,0,0
310,NSW267179,2,fullLeaf,82,60892,67.66,482,16.07,179,5.97,3,,,,,,,,,,,,1,0,0,0,0
1196,NSW931042,3,fullLeaf,90,60096,66.77,402,13.4,214,7.13,141,,,,,,,,,,,,1,0,0,0,0
262,NSW200105,8,fullLeaf,89,59974,66.64,438,14.6,194,6.47,123,,,,,,,,,,,,1,0,0,0,0
1155,NSW845310,1,fullLeaf,98,59619,66.24,422,14.07,200,6.67,21,,,,,,,,,,,,1,0,0,0,0
998,NSW784165,2,fullLeaf,94,59597,66.22,494,16.47,183,6.1,33,,,,,,,,,,,,1,0,0,0,0
267,NSW200362,1,fullLeaf,96,59410,66.01,492,16.4,187,6.23,121,,,,,,,,,,,,1,0,0,0,0
1140,NSW837584,2,fullLeaf,76,59384,65.98,514,17.13,164,5.47,1,,,,,,,,,,,,1,0,0,0,0
1218,NSW942537,1,fullLeaf,92,59234,65.82,552,18.4,159,5.3,166,,,,,,,,,,,,1,0,0,0,0
1216,NSW942535,2,fullLeaf,96,59072,65.64,450,15,179,5.97,162,,,,,,,,,,,,1,0,0,0,0
916,NSW533054,1,fullLeaf,95,58686,65.21,334,11.13,230,7.67,116,,,,,,,,,,,,1,0,0,0,0
977,NSW732419,3,fullLeaf,73,58569,65.08,438,14.6,203,6.77,67,,,,,,,,,,,,1,0,0,0,0
1161,NSW870110,3,fullLeaf,97,58562,65.07,462,15.4,180,6,153,,,,,,,,,,,,1,0,0,0,0
671,NSW528935,3,fullLeaf,77,58524,65.03,360,12,231,7.7,6,,,,,,,,,,,,1,0,0,0,0
283,NSW224291,6,fullLeaf,89,58436,64.93,490,16.33,154,5.13,0,,,,,,,,,,,,1,0,0,0,0
976,NSW732417,3,fullLeaf,79,58418,64.91,390,13,227,7.57,124,,,,,,,,,,,,1,0,0,0,0
262,NSW200105,2,fullLeaf,97,58019,64.47,382,12.73,200,6.67,10,,,,,,,,,,,,1,0,0,0,0
563,NSW528780,3,fullLeaf,92,57841,64.27,414,13.8,201,6.7,124,,,,,,,,,,,,1,0,0,0,0
505,NSW528137,3,fullLeaf,91,57788,64.21,350,11.67,233,7.77,18,,,,,,,,,,,,1,0,0,0,0
36,NSW129351,2,fullLeaf,70,57567,63.96,304,10.13,271,9.03,359,,,,,,,,,,,,1,0,0,0,0
718,NSW528992,2,fullLeaf,74,57214,63.57,360,12,290,9.67,31,,,,,,,,,,,,1,0,0,0,0
564,NSW528781,2,fullLeaf,95,56856,63.17,412,13.73,196,6.53,64,,,,,,,,,,,,1,0,0,0,0
932,NSW533073,3,fullLeaf,81,56166,62.41,372,12.4,220,7.33,62,,,,,,,,,,,,1,0,0,0,0
1,NSW1001008,5,fullLeaf,78,55911,62.12,378,12.6,191,6.37,0,,,,,,,,,,,,1,0,0,0,0
1135,NSW836120,1,fullLeaf,98,55870,62.08,352,11.73,232,7.73,29,,,,,,,,,,,,1,0,0,0,0
1098,NSW835467,1,fullLeaf,95,55846,62.05,362,12.07,198,6.6,158,,,,,,,,,,,,1,0,0,0,0
181,NSW129615,2,fullLeaf,79,55722,61.91,326,10.87,233,7.77,5,1,55530,61,330,238,3,100,99,98,167,95,1,1,1,0,0
1217,NSW942536,3,fullLeaf,94,55690,61.88,422,14.07,190,6.33,106,,,,,,,,,,,,1,0,0,0,0
918,NSW533056,4,fullLeaf,71,55038,61.15,488,16.27,164,5.47,12,,,,,,,,,,,,1,0,0,0,0
778,NSW529167,1,fullLeaf,96,54908,61.01,414,13.8,182,6.07,130,,,,,,,,,,,,1,0,0,0,0
270,NSW206485,1,fullLeaf,97,54842,60.94,340,11.33,223,7.43,10,,,,,,,,,,,,1,0,0,0,0
932,NSW533073,2,fullLeaf,91,54469,60.52,372,12.4,202,6.73,90,,,,,,,,,,,,1,0,0,0,0
1217,NSW942536,1,fullLeaf,96,54467,60.52,372,12.4,213,7.1,159,,,,,,,,,,,,1,0,0,0,0
1064,NSW833595,2,fullLeaf,96,54455,60.51,408,13.6,182,6.07,18,,,,,,,,,,,,1,0,0,0,0
722,NSW528996,2,fullLeaf,74,54383,60.43,346,11.53,220,7.33,161,,,,,,,,,,,,1,0,0,0,0
658,NSW528915,1,fullLeaf,95,53915,59.91,334,11.13,211,7.03,0,,,,,,,,,,,,1,0,0,0,0
1040,NSW805322,1,fullLeaf,84,53836,59.82,382,12.73,234,7.8,108,,,,,,,,,,,,1,0,0,0,0
637,NSW528889,6,fullLeaf,85,53739,59.71,384,12.8,190,6.33,83,,,,,,,,,,,,1,0,0,0,0
505,NSW528137,4,fullLeaf,86,53477,59.42,374,12.47,211,7.03,37,,,,,,,,,,,,1,0,0,0,0
568,NSW528785,1,fullLeaf,98,53213,59.13,408,13.6,181,6.03,34,,,,,,,,,,,,1,0,0,0,0
1140,NSW837584,3,fullLeaf,73,52329,58.14,450,15,176,5.87,130,,,,,,,,,,,,1,0,0,0,0
718,NSW528992,1,fullLeaf,88,51959,57.73,286,9.53,240,8,359,,,,,,,,,,,,1,0,0,0,0
1057,NSW822931,2,fullLeaf,90,51365,57.07,290,9.67,238,7.93,100,,,,,,,,,,,,1,0,0,0,0
1153,NSW845148,2,fullLeaf,85,51252,56.95,412,13.73,166,5.53,1,,,,,,,,,,,,1,0,0,0,0
302,NSW257018,3,fullLeaf,77,51222,56.91,282,9.4,249,8.3,163,,,,,,,,,,,,1,0,0,0,0
915,NSW533053,3,fullLeaf,95,51118,56.8,386,12.87,201,6.7,15,,,,,,,,,,,,1,0,0,0,0
1161,NSW870110,1,fullLeaf,98,51084,56.76,426,14.2,165,5.5,19,,,,,,,,,,,,1,0,0,0,0
1141,NSW837657,1,fullLeaf,85,50910,56.57,294,9.8,255,8.5,359,,,,,,,,,,,,1,0,0,0,0
1051,NSW806915,1,fullLeaf,95,50812,56.46,282,9.4,234,7.8,359,,,,,,,,,,,,1,0,0,0,0
1051,NSW806915,3,fullLeaf,73,50818,56.46,308,10.27,231,7.7,99,,,,,,,,,,,,1,0,0,0,0
181,NSW129615,1,fullLeaf,97,50807,56.45,312,10.4,231,7.7,141,2,51224,56,322,232,141,99,97,100,100,97,1,1,1,0,0
915,NSW533053,5,fullLeaf,88,50705,56.34,354,11.8,223,7.43,163,,,,,,,,,,,,1,0,0,0,0
872,NSW529877,5,fullLeaf,85,50377,55.97,374,12.47,197,6.57,128,2,53360,59,416,196,131,94,90,101,98,93,1,1,1,0,0
1045,NSW805327,1,fullLeaf,97,50190,55.77,320,10.67,213,7.1,157,,,,,,,,,,,,1,0,0,0,0
914,NSW533052,3,fullLeaf,93,49765,55.29,338,11.27,204,6.8,125,,,,,,,,,,,,1,0,0,0,0
974,NSW728429,5,fullLeaf,85,49346,54.83,364,12.13,182,6.07,2,,,,,,,,,,,,1,0,0,0,0
1057,NSW822931,1,fullLeaf,91,49206,54.67,336,11.2,188,6.27,12,,,,,,,,,,,,1,0,0,0,0
563,NSW528780,1,fullLeaf,96,49011,54.46,402,13.4,188,6.27,3,,,,,,,,,,,,1,0,0,0,0
914,NSW533052,1,fullLeaf,96,48772,54.19,336,11.2,200,6.67,33,,,,,,,,,,,,1,0,0,0,0
452,NSW520263,5,fullLeaf,94,48740,54.16,380,12.67,190,6.33,37,,,,,,,,,,,,1,0,0,0,0
952,NSW635411,2,fullLeaf,87,48694,54.1,374,12.47,225,7.5,64,,,,,,,,,,,,1,0,0,0,0
564,NSW528781,3,fullLeaf,70,48403,53.78,462,15.4,221,7.37,30,,,,,,,,,,,,1,0,0,0,0
288,NSW243564,2,fullLeaf,92,48201,53.56,344,11.47,189,6.3,111,1,48323,53,370,197,109,100,93,96,102,93,1,1,1,0,0
1075,NSW833663,4,fullLeaf,95,48207,53.56,392,13.07,168,5.6,124,,,,,,,,,,,,1,0,0,1,0
291,NSW245576,2,fullLeaf,75,47871,53.19,314,10.47,224,7.47,14,,,,,,,,,,,,1,0,0,0,0
1216,NSW942535,1,fullLeaf,97,47741,53.05,430,14.33,165,5.5,152,,,,,,,,,,,,1,0,0,0,0
452,NSW520263,2,fullLeaf,95,47680,52.98,348,11.6,189,6.3,116,,,,,,,,,,,,1,0,0,0,0
263,NSW200331,4,fullLeaf,95,47436,52.71,372,12.4,185,6.17,16,,,,,,,,,,,,1,0,0,0,0
528,NSW528397,1,fullLeaf,89,47390,52.66,254,8.47,293,9.77,359,,,,,,,,,,,,1,0,0,0,0
1026,NSW805307,1,fullLeaf,96,47268,52.52,340,11.33,192,6.4,28,,,,,,,,,,,,1,0,0,0,0
497,NSW528129,1,fullLeaf,82,47228,52.48,334,11.13,212,7.07,159,,,,,,,,,,,,1,0,0,1,0
913,NSW533051,1,fullLeaf,74,47007,52.23,370,12.33,187,6.23,120,,,,,,,,,,,,1,0,0,0,0
288,NSW243564,1,fullLeaf,93,46823,52.03,398,13.27,183,6.1,1,,,,,,,,,,,,1,0,0,0,0
1161,NSW870110,4,fullLeaf,85,46808,52.01,418,13.93,160,5.33,92,,,,,,,,,,,,1,0,0,0,0
1,NSW1001008,2,fullLeaf,89,46762,51.96,430,14.33,166,5.53,66,,,,,,,,,,,,1,0,0,0,0
1193,NSW931038,1,fullLeaf,98,46655,51.84,402,13.4,172,5.73,166,,,,,,,,,,,,1,0,0,0,0
271,NSW208209,2,fullLeaf,97,46473,51.64,354,11.8,176,5.87,33,,,,,,,,,,,,1,0,0,0,0
564,NSW528781,1,fullLeaf,97,46257,51.4,350,11.67,170,5.67,0,,,,,,,,,,,,1,0,0,0,0
932,NSW533073,1,fullLeaf,97,46152,51.28,336,11.2,194,6.47,114,,,,,,,,,,,,1,0,0,0,0
528,NSW528397,2,fullLeaf,86,45767,50.85,412,13.73,158,5.27,9,,,,,,,,,,,,1,0,0,0,0
448,NSW506910,5,fullLeaf,81,45721,50.8,360,12,168,5.6,90,,,,,,,,,,,,1,0,0,0,0
1196,NSW931042,1,fullLeaf,97,45344,50.38,328,10.93,190,6.33,21,,,,,,,,,,,,1,0,0,0,0
643,NSW528895,3,fullLeaf,95,45281,50.31,308,10.27,227,7.57,150,,,,,,,,,,,,1,0,0,0,0
785,NSW529177,1,fullLeaf,96,45127,50.14,362,12.07,180,6,159,,,,,,,,,,,,1,0,0,0,0
1155,NSW845310,3,fullLeaf,94,45082,50.09,322,10.73,195,6.5,61,,,,,,,,,,,,1,0,0,0,0
1217,NSW942536,2,fullLeaf,95,45066,50.07,406,13.53,156,5.2,1,,,,,,,,,,,,1,0,0,0,0
827,NSW529245,1,fullLeaf,89,44917,49.91,414,13.8,162,5.4,156,,,,,,,,,,,,1,0,0,0,0
452,NSW520263,3,fullLeaf,95,44633,49.59,344,11.47,177,5.9,120,,,,,,,,,,,,1,0,0,0,0
494,NSW528125,1,fullLeaf,95,44583,49.54,272,9.07,237,7.9,134,,,,,,,,,,,,1,0,0,0,0
262,NSW200105,6,fullLeaf,91,44550,49.5,372,12.4,185,6.17,142,,,,,,,,,,,,1,0,0,0,0
1003,NSW784565,1,fullLeaf,98,44475,49.42,366,12.2,172,5.73,157,,,,,,,,,,,,1,0,0,0,0
495,NSW528126,1,fullLeaf,76,44433,49.37,326,10.87,196,6.53,70,,,,,,,,,,,,1,0,0,0,0
1075,NSW833663,2,fullLeaf,97,44258,49.18,388,12.93,157,5.23,69,3,46328,51,400,161,69,96,97,98,100,95,1,1,1,0,0
274,NSW208578,5,fullLeaf,77,44247,49.16,444,14.8,140,4.67,127,,,,,,,,,,,,1,0,0,0,0
573,NSW528791,5,fullLeaf,87,44086,48.98,326,10.87,205,6.83,163,,,,,,,,,,,,1,0,0,0,0
1153,NSW845148,1,fullLeaf,88,43999,48.89,336,11.2,193,6.43,95,,,,,,,,,,,,1,0,0,0,0
513,NSW528145,3,fullLeaf,92,43883,48.76,402,13.4,158,5.27,103,,,,,,,,,,,,1,0,0,0,0
662,NSW528920,4,fullLeaf,73,43883,48.76,338,11.27,217,7.23,18,,,,,,,,,,,,1,0,0,0,0
1174,NSW898992,2,fullLeaf,86,43707,48.56,318,10.6,197,6.57,162,,,,,,,,,,,,1,0,0,0,0
301,NSW257012,2,fullLeaf,91,43694,48.55,306,10.2,206,6.87,143,,,,,,,,,,,,1,0,0,0,0
1151,NSW844335,3,fullLeaf,82,43601,48.45,354,11.8,162,5.4,130,,,,,,,,,,,,1,0,0,1,0
662,NSW528920,3,fullLeaf,85,43297,48.11,376,12.53,189,6.3,30,,,,,,,,,,,,1,0,0,0,0
914,NSW533052,2,fullLeaf,95,42852,47.61,342,11.4,176,5.87,5,,,,,,,,,,,,1,0,0,0,0
915,NSW533053,6,fullLeaf,86,42744,47.49,294,9.8,205,6.83,103,,,,,,,,,,,,1,0,0,0,0
1,NSW1001008,3,fullLeaf,85,42736,47.48,376,12.53,163,5.43,125,,,,,,,,,,,,1,0,0,0,0
1074,NSW833662,1,fullLeaf,97,42550,47.28,398,13.27,161,5.37,152,,,,,,,,,,,,1,0,0,0,0
1076,NSW833664,2,fullLeaf,83,42438,47.15,358,11.93,194,6.47,65,,,,,,,,,,,,1,0,0,0,0
970,NSW699150,1,fullLeaf,95,42412,47.12,296,9.87,196,6.53,128,,,,,,,,,,,,1,0,0,0,0
267,NSW200362,3,fullLeaf,94,42379,47.09,392,13.07,170,5.67,36,,,,,,,,,,,,1,0,0,0,0
915,NSW533053,7,fullLeaf,85,42351,47.06,282,9.4,222,7.4,359,,,,,,,,,,,,1,0,0,0,0
1135,NSW836120,2,fullLeaf,97,42316,47.02,354,11.8,173,5.77,5,,,,,,,,,,,,1,0,0,0,0
974,NSW728429,4,fullLeaf,85,42268,46.96,350,11.67,181,6.03,68,,,,,,,,,,,,1,0,0,0,0
34,NSW129349,1,fullLeaf,98,42180,46.87,314,10.47,187,6.23,38,,,,,,,,,,,,1,0,0,0,0
1135,NSW836120,3,fullLeaf,90,42019,46.69,320,10.67,198,6.6,35,,,,,,,,,,,,1,0,0,0,0
568,NSW528785,2,fullLeaf,97,41905,46.56,336,11.2,174,5.8,135,,,,,,,,,,,,1,0,0,0,0
266,NSW200340,2,fullLeaf,88,41897,46.55,398,13.27,154,5.13,21,,,,,,,,,,,,1,0,0,0,0
573,NSW528791,1,fullLeaf,97,41589,46.21,336,11.2,165,5.5,141,,,,,,,,,,,,1,0,0,0,0
637,NSW528889,1,fullLeaf,97,41542,46.16,332,11.07,159,5.3,0,,,,,,,,,,,,1,0,0,0,0
972,NSW699198,3,fullLeaf,87,41434,46.04,332,11.07,175,5.83,105,,,,,,,,,,,,1,0,0,0,0
665,NSW528925,3,fullLeaf,70,41182,45.76,412,13.73,165,5.5,78,,,,,,,,,,,,1,0,0,0,0
1202,NSW933602,3,fullLeaf,92,41074,45.64,284,9.47,226,7.53,139,,,,,,,,,,,,1,0,0,0,0
526,NSW528395,1,fullLeaf,94,41058,45.62,372,12.4,159,5.3,142,,,,,,,,,,,,1,0,0,0,0
875,NSW529880,2,fullLeaf,98,40900,45.44,376,12.53,158,5.27,41,,,,,,,,,,,,1,0,0,0,0
585,NSW528813,1,fullLeaf,94,40831,45.37,302,10.07,192,6.4,52,2,40792,45,316,191,48,100,96,101,108,97,1,1,1,0,0
182,NSW129616,1,fullLeaf,96,40811,45.35,340,11.33,185,6.17,52,,,,,,,,,,,,1,0,0,0,0
1216,NSW942535,3,fullLeaf,90,40799,45.33,442,14.73,136,4.53,49,,,,,,,,,,,,1,0,0,0,0
1216,NSW942535,4,fullLeaf,86,40655,45.17,442,14.73,150,5,30,,,,,,,,,,,,1,0,0,0,0
974,NSW728429,2,fullLeaf,91,40543,45.05,332,11.07,164,5.47,98,,,,,,,,,,,,1,0,0,0,0
452,NSW520263,4,fullLeaf,95,40508,45.01,320,10.67,172,5.73,1,,,,,,,,,,,,1,0,0,0,0
448,NSW506910,2,fullLeaf,95,40346,44.83,398,13.27,148,4.93,163,,,,,,,,,,,,1,0,0,0,0
