Image Number,Image,Predication Number,Label Name,Confidence,Pixel Area Mask,cm Area Mask,Pixel Length,cm Length ,Pixel Width,cm Width ,Box Rotation Degrees,Validation Number,Pixel Area Validation,Pixel Length Validation,Pixel Width Validation,Box Rotation Degrees Validation,Pixel Area Accuracy %,Pixel Length Accuracy %,Pixel Width Accuracy %,Box Rotation Degrees Accuracy %,IOU %,Prediction,Validation,Prediction & Validation,Predication No Validation,Validation No Predication,Catalogue Number,Scientific Name (intepreted),Country - parsed,Latitude - original,Decimal latitude (WGS84),Decimal longitude (WGS84),Coordinate Uncertainty in Metres
98,NSW129516,5,fullLeaf,83,11239,12.49,236,7.87,71,2.37,157,1,12081,256,78,157,93,92,91,100,92,1,1,1,0,0,NSW129516,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
99,NSW129517,8,fullLeaf,81,11778,13.09,292,9.73,61,2.03,0,1,12447,308,65,0,95,95,94,0,93,1,1,1,0,0,NSW129517,Syzygium ingens,Australia,-28.82,-28.82,153.3975,10000
101,NSW129519,2,fullLeaf,90,18578,20.64,318,10.6,89,2.97,122,1,19848,348,89,122,94,91,100,100,87,1,1,1,0,0,NSW129519,Syzygium ingens,Australia,-28.52,-28.52,153.45,10000
181,NSW129615,2,fullLeaf,89,55708,61.9,326,10.87,235,7.83,1,1,55530,330,238,3,100,99,99,33,96,1,1,1,0,0,NSW129615,Syzygium suborbiculare,Australia,-12.45,-12.45,130.82,25000
233,NSW129677,2,fullLeaf,90,7144,7.94,194,6.47,59,1.97,111,1,7577,210,59,114,94,92,100,97,84,1,1,1,0,0,NSW129677,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
257,NSW136998,1,fullLeaf,89,14717,16.35,188,6.27,109,3.63,0,1,15736,204,116,13,94,92,94,0,92,1,1,1,0,0,NSW136998,Syzygium nervosum,Australia,-12.52,-12.52,130.8,1000
287,NSW243564,1,fullLeaf,89,46977,52.2,396,13.2,186,6.2,4,1,48323,370,197,109,97,107,94,4,1,1,1,1,0,0,NSW243564,Syzygium aqueum,Papua New Guinea,-6.73,-6.73,143.33,
287,NSW243564,4,fullLeaf,80,48276,53.64,340,11.33,193,6.43,116,1,48323,370,197,109,100,92,98,106,94,1,1,1,0,0,NSW243564,Syzygium aqueum,Papua New Guinea,-6.73,-6.73,143.33,
365,NSW379977,2,fullLeaf,95,8915,9.91,204,6.8,73,2.43,25,1,9825,228,78,25,91,89,94,100,90,1,1,1,0,0,NSW379977,Syzygium ingens,Australia,-28.82,-28.82,153.4,10000
368,NSW379982,1,fullLeaf,74,8332,9.26,180,6,68,2.27,0,1,12109,250,70,16,69,72,97,0,68,1,1,1,0,0,NSW379982,Syzygium ingens,Australia,-28.87,-28.87,153.05,10000
428,NSW475457,1,fullLeaf,98,13063,14.51,196,6.53,94,3.13,149,1,12749,196,93,148,102,100,101,101,96,1,1,1,0,0,NSW475457,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,1000
570,NSW528788,3,fullLeaf,82,39227,43.59,304,10.13,177,5.9,147,1,40449,366,175,148,97,83,101,99,93,1,1,1,0,0,NSW528788,Syzygium nervosum,Australia,-13.725,-13.725,133.4917,1600
576,NSW528795,4,fullLeaf,86,17755,19.73,272,9.07,95,3.17,71,1,17832,270,97,68,100,101,98,104,96,1,1,1,0,0,NSW528795,Syzygium aqueum,Australia,-12.72,-12.72,143.25,2000
577,NSW528796,1,fullLeaf,97,31807,35.34,322,10.73,145,4.83,38,1,32929,342,139,40,97,94,104,95,95,1,1,1,0,0,NSW528796,Syzygium aqueum,Australia,-12.73,-12.73,143.23,2000
628,NSW528879,5,fullLeaf,92,11305,12.56,178,5.93,99,3.3,23,1,11609,188,103,27,97,95,96,85,93,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
628,NSW528879,10,fullLeaf,76,5164,5.74,174,5.8,58,1.93,18,1,11609,188,103,27,44,93,56,67,1,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
869,NSW529877,2,fullLeaf,89,21888,24.32,284,9.47,112,3.73,68,1,21795,286,114,67,100,99,98,101,97,1,1,1,0,0,NSW529877,Syzygium divaricatum,Australia,-17.425,-17.425,145.7917,1600
917,NSW533059,1,fullLeaf,95,6492,7.21,138,4.6,64,2.13,134,1,9033,194,77,152,72,71,83,88,1,1,1,1,0,0,NSW533059,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,
917,NSW533059,5,fullLeaf,86,8676,9.64,172,5.73,73,2.43,152,1,9033,194,77,152,96,89,95,100,94,1,1,1,0,0,NSW533059,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,
918,NSW533060,1,fullLeaf,97,7715,8.57,142,4.73,79,2.63,151,1,7812,152,79,154,99,93,100,98,96,1,1,1,0,0,NSW533060,Syzygium papyraceum,Australia,-17.45,-17.45,145.65,
920,NSW533063,2,fullLeaf,85,5668,6.3,150,5,57,1.9,107,1,5882,156,60,108,96,96,95,99,94,1,1,1,0,0,NSW533063,Syzygium papyraceum,Australia,-17.37,-17.37,145.77,
937,NSW592806,1,fullLeaf,95,9196,10.22,170,5.67,82,2.73,1,1,9195,166,87,1,100,102,94,100,96,1,1,1,0,0,NSW592806,Syzygium papyraceum,Australia,-17.38,-17.38,145.73,5000
955,NSW674488,1,fullLeaf,93,7272,8.08,162,5.4,83,2.77,61,1,4686,134,64,62,155,121,130,98,59,1,1,1,0,0,NSW674488,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
956,NSW674489,2,fullLeaf,91,6273,6.97,152,5.07,70,2.33,82,1,6381,156,72,82,98,97,97,100,95,1,1,1,0,0,NSW674489,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
972,NSW732415,2,fullLeaf,94,16019,17.8,224,7.47,101,3.37,125,1,16183,240,101,126,99,93,100,99,94,1,1,1,0,0,NSW732415,Syzygium,Papua New Guinea,-7.3447,-7.3447,146.7125,5000
1021,NSW805304,2,fullLeaf,90,60400,67.11,376,12.53,241,8.03,152,1,48968,396,196,152,123,95,123,100,80,1,1,1,0,0,NSW805304,Syzygium,Papua New Guinea,-9.42,-9.42,147.5,10000
1064,NSW833598,6,fullLeaf,88,28860,32.07,280,9.33,141,4.7,90,1,28840,280,149,90,100,100,95,100,96,1,1,1,0,0,NSW833598,Syzygium,Papua New Guinea,,-7.245278,147.149444,100
1065,NSW833600,2,fullLeaf,75,16871,18.75,252,8.4,114,3.8,39,1,11690,238,78,41,144,106,146,95,54,1,1,1,0,0,NSW833600,Syzygium,Papua New Guinea,-6.09003,-6.09003,147.01214,
1072,NSW833663,2,fullLeaf,97,35893,39.88,382,12.73,133,4.43,159,1,36792,398,135,159,98,96,99,100,97,1,1,1,0,0,NSW833663,Syzygium,Papua New Guinea,-7.2453,-7.2453,147.1494,100
1086,NSW835264,2,fullLeaf,93,60205,66.89,434,14.47,191,6.37,159,1,58534,440,189,161,103,99,101,99,95,1,1,1,0,0,NSW835264,Syzygium nervosum,Australia,-12.42,-12.42,131.08,
1090,NSW835279,3,fullLeaf,94,18455,20.51,222,7.4,124,4.13,37,1,18491,232,123,39,100,96,101,95,97,1,1,1,0,0,NSW835279,Syzygium minutuliflorum,Australia,-12.83,-12.83,132.92,
1092,NSW835456,2,fullLeaf,91,19461,21.62,244,8.13,130,4.33,54,1,19635,250,129,56,99,98,101,96,97,1,1,1,0,0,NSW835456,Syzygium nervosum,Australia,-12.42,-12.42,131.08,
1097,NSW835535,13,fullLeaf,78,8771,9.75,188,6.27,80,2.67,11,1,8095,182,69,21,108,103,115,52,77,1,1,1,0,0,NSW835535,Syzygium bungadinnia,Australia,-17.27,-17.27,145.48,
1119,NSW835752,4,fullLeaf,94,11767,13.07,202,6.73,87,2.9,44,1,10874,212,81,40,108,95,107,110,89,1,1,1,0,0,NSW835752,Syzygium ingens,Australia,-28.75,-28.75,153.5,
1148,NSW844335,1,fullLeaf,97,29525,32.81,358,11.93,124,4.13,0,1,29998,364,131,1,98,98,95,0,94,1,1,1,0,0,NSW844335,Syzygium,Papua New Guinea,-6.8525,-6.8525,146.81,100
1186,NSW931006,2,fullLeaf,98,20043,22.27,272,9.07,116,3.87,159,1,14853,250,95,161,135,109,122,99,69,1,1,1,0,0,NSW931006,Syzygium,Papua New Guinea,-9.46127,-9.46127,147.645,
1192,NSW931040,1,fullLeaf,73,153402,170.45,750,25,296,9.87,149,1,165192,838,290,151,93,89,102,99,92,1,1,1,0,0,NSW931040,Syzygium,Papua New Guinea,-4.46667,-4.46667,142.717,
70,NSW129468,5,fullLeaf,75,14210,15.79,220,7.33,93,3.1,126,2,13017,222,94,129,109,99,99,98,88,1,1,1,0,0,NSW129468,Syzygium crebrinerve,Australia,-30.32,-30.32,152.72,25000
98,NSW129516,1,fullLeaf,95,11479,12.75,240,8,74,2.47,0,2,11516,240,79,0,100,100,94,0,90,1,1,1,0,0,NSW129516,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
99,NSW129517,3,fullLeaf,92,8654,9.62,204,6.8,63,2.1,8,2,8408,204,61,10,103,100,103,80,96,1,1,1,0,0,NSW129517,Syzygium ingens,Australia,-28.82,-28.82,153.3975,10000
101,NSW129519,4,fullLeaf,87,20976,23.31,314,10.47,98,3.27,107,2,22583,328,102,108,93,96,96,99,92,1,1,1,0,0,NSW129519,Syzygium ingens,Australia,-28.52,-28.52,153.45,10000
181,NSW129615,1,fullLeaf,96,50502,56.11,312,10.4,230,7.67,142,2,51224,322,232,141,99,97,99,101,97,1,1,1,0,0,NSW129615,Syzygium suborbiculare,Australia,-12.45,-12.45,130.82,25000
233,NSW129677,1,fullLeaf,91,16079,17.87,284,9.47,82,2.73,127,2,17495,318,87,130,92,89,94,98,90,1,1,1,0,0,NSW129677,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
257,NSW136998,,,,,,,,,,,2,4916,118,69,97,,,,,,0,1,0,0,1,NSW136998,Syzygium nervosum,Australia,-12.52,-12.52,130.8,1000
365,NSW379977,1,fullLeaf,97,9753,10.84,244,8.13,60,2,3,2,10194,248,62,3,96,98,97,100,94,1,1,1,0,0,NSW379977,Syzygium ingens,Australia,-28.82,-28.82,153.4,10000
428,NSW475457,4,fullLeaf,95,16145,17.94,214,7.13,110,3.67,9,2,16347,224,112,6,99,96,98,150,96,1,1,1,0,0,NSW475457,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,1000
618,NSW528864,4,fullLeaf,77,11246,12.5,164,5.47,99,3.3,41,2,11788,182,100,45,95,90,99,91,95,1,1,1,0,0,NSW528864,Syzygium johnsonii,Australia,-17.425,-17.425,145.5917,1600
628,NSW528879,2,fullLeaf,94,7988,8.88,160,5.33,69,2.3,2,2,7945,172,70,2,101,93,99,100,93,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
803,NSW529199,7,fullLeaf,83,13729,15.25,176,5.87,112,3.73,104,2,13949,178,113,99,98,99,99,105,96,1,1,1,0,0,NSW529199,Syzygium macilwraithianum,Australia,-13.725,-13.725,143.3417,1600
869,NSW529877,5,fullLeaf,82,51030,56.7,378,12.6,198,6.6,127,2,53360,416,196,131,96,91,101,97,94,1,1,1,0,0,NSW529877,Syzygium divaricatum,Australia,-17.425,-17.425,145.7917,1600
918,NSW533060,6,fullLeaf,90,4396,4.88,108,3.6,61,2.03,21,2,4393,108,57,28,100,100,107,75,95,1,1,1,0,0,NSW533060,Syzygium papyraceum,Australia,-17.45,-17.45,145.65,
919,NSW533061,2,fullLeaf,90,2558,2.84,104,3.47,40,1.33,150,2,2609,110,51,142,98,95,78,106,88,1,1,1,0,0,NSW533061,Syzygium papyraceum,Australia,-17.45,-17.45,145.65,
920,NSW533063,5,fullLeaf,79,5638,6.26,126,4.2,64,2.13,71,2,6016,134,65,75,94,94,98,95,92,1,1,1,0,0,NSW533063,Syzygium papyraceum,Australia,-17.37,-17.37,145.77,
955,NSW674488,3,fullLeaf,91,6221,6.91,154,5.13,71,2.37,51,2,6355,158,72,52,98,97,99,98,94,1,1,1,0,0,NSW674488,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
956,NSW674489,7,fullLeaf,89,4360,4.84,128,4.27,55,1.83,95,2,4509,138,57,100,97,93,96,95,94,1,1,1,0,0,NSW674489,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
972,NSW732415,3,fullLeaf,92,11996,13.33,212,7.07,84,2.8,129,2,12033,222,85,128,100,95,99,101,95,1,1,1,0,0,NSW732415,Syzygium,Papua New Guinea,-7.3447,-7.3447,146.7125,5000
975,NSW739142,1,fullLeaf,98,29088,32.32,296,9.87,136,4.53,12,2,29291,308,134,14,99,96,101,86,97,1,1,1,0,0,NSW739142,Syzygium nervosum,Australia,-13.17,-13.17,130.12,2000
1021,NSW805304,3,fullLeaf,89,31953,35.5,314,10.47,147,4.9,114,2,31824,326,148,114,100,96,99,100,96,1,1,1,0,0,NSW805304,Syzygium,Papua New Guinea,-9.42,-9.42,147.5,10000
1047,NSW805332,1,fullLeaf,96,17774,19.75,246,8.2,109,3.63,144,2,17911,256,106,147,99,96,103,98,95,1,1,1,0,0,NSW805332,Syzygium,Papua New Guinea,-7.25,-7.25,146.5,2000
1063,NSW833597,2,fullLeaf,85,26494,29.44,244,8.13,157,5.23,46,2,20107,210,135,67,132,115,115,69,75,1,1,1,0,0,NSW833597,Syzygium,Papua New Guinea,,-7.245278,147.149444,100
1064,NSW833598,7,fullLeaf,83,2130,2.37,106,3.53,32,1.07,155,2,2370,108,38,0,90,98,84,0,90,1,1,1,0,0,NSW833598,Syzygium,Papua New Guinea,,-7.245278,147.149444,100
1072,NSW833663,7,fullLeaf,79,25994,28.88,302,10.07,130,4.33,21,2,27099,322,129,23,96,94,101,91,93,1,1,1,0,0,NSW833663,Syzygium,Papua New Guinea,-7.2453,-7.2453,147.1494,100
1072,NSW833663,8,fullLeaf,78,12073,13.41,188,6.27,103,3.43,3,2,27099,322,129,23,45,57,80,13,1,1,1,1,0,0,NSW833663,Syzygium,Papua New Guinea,-7.2453,-7.2453,147.1494,100
1086,NSW835264,1,fullLeaf,94,70141,77.93,470,15.67,234,7.8,121,2,65783,482,206,123,107,98,113,98,92,1,1,1,0,0,NSW835264,Syzygium nervosum,Australia,-12.42,-12.42,131.08,
1090,NSW835279,1,fullLeaf,98,14426,16.03,184,6.13,114,3.8,146,2,14512,202,109,98,99,91,105,149,1,1,1,1,0,0,NSW835279,Syzygium minutuliflorum,Australia,-12.83,-12.83,132.92,
1090,NSW835279,6,fullLeaf,81,14567,16.19,200,6.67,107,3.57,103,2,14512,202,109,98,100,99,98,105,96,1,1,1,0,0,NSW835279,Syzygium minutuliflorum,Australia,-12.83,-12.83,132.92,
1092,NSW835456,1,fullLeaf,97,28060,31.18,306,10.2,137,4.57,145,2,28313,326,141,142,99,94,97,102,97,1,1,1,0,0,NSW835456,Syzygium nervosum,Australia,-12.42,-12.42,131.08,
1097,NSW835535,3,fullLeaf,96,8846,9.83,190,6.33,71,2.37,8,2,9272,200,74,8,95,95,96,100,94,1,1,1,0,0,NSW835535,Syzygium bungadinnia,Australia,-17.27,-17.27,145.48,
1119,NSW835752,3,fullLeaf,95,6145,6.83,150,5,58,1.93,139,2,6361,158,62,137,97,95,94,101,94,1,1,1,0,0,NSW835752,Syzygium ingens,Australia,-28.75,-28.75,153.5,
1162,NSW870241,2,fullLeaf,96,23982,26.65,270,9,129,4.3,139,2,25276,334,127,143,95,81,102,97,94,1,1,1,0,0,NSW870241,Syzygium,Papua New Guinea,-7.3036,-7.3036,147.1336,3
1186,NSW931006,1,fullLeaf,98,15689,17.43,248,8.27,97,3.23,147,2,15729,258,96,147,100,96,101,100,96,1,1,1,0,0,NSW931006,Syzygium,Papua New Guinea,-9.46127,-9.46127,147.645,
70,NSW129468,2,fullLeaf,87,5232,5.81,122,4.07,61,2.03,18,3,5358,142,63,0,98,86,97,0,92,1,1,1,0,0,NSW129468,Syzygium crebrinerve,Australia,-30.32,-30.32,152.72,25000
98,NSW129516,4,fullLeaf,85,8953,9.95,192,6.4,68,2.27,147,3,9238,198,70,146,97,97,97,101,91,1,1,1,0,0,NSW129516,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
99,NSW129517,4,fullLeaf,91,10414,11.57,210,7,73,2.43,6,3,11636,242,66,13,89,87,111,46,89,1,1,1,0,0,NSW129517,Syzygium ingens,Australia,-28.82,-28.82,153.3975,10000
101,NSW129519,3,fullLeaf,89,16223,18.03,296,9.87,78,2.6,161,3,18532,336,93,154,88,88,84,105,83,1,1,1,0,0,NSW129519,Syzygium ingens,Australia,-28.52,-28.52,153.45,10000
365,NSW379977,3,fullLeaf,92,11050,12.28,230,7.67,78,2.6,0,3,11170,246,76,1,99,93,103,0,92,1,1,1,0,0,NSW379977,Syzygium ingens,Australia,-28.82,-28.82,153.4,10000
428,NSW475457,6,fullLeaf,94,9733,10.81,172,5.73,80,2.67,20,3,9802,184,81,19,99,93,99,105,93,1,1,1,0,0,NSW475457,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,1000
570,NSW528788,2,fullLeaf,84,17263,19.18,186,6.2,132,4.4,125,3,17500,206,129,135,99,90,102,93,95,1,1,1,0,0,NSW528788,Syzygium nervosum,Australia,-13.725,-13.725,133.4917,1600
573,NSW528792,4,fullLeaf,92,6190,6.88,128,4.27,65,2.17,5,3,6644,144,68,2,93,89,96,250,93,1,1,1,0,0,NSW528792,Syzygium nervosum,Australia,-12.5,-12.5,131.48,2000
576,NSW528795,2,fullLeaf,89,12954,14.39,246,8.2,75,2.5,6,3,13160,242,83,1,98,102,90,600,88,1,1,1,0,0,NSW528795,Syzygium aqueum,Australia,-12.72,-12.72,143.25,2000
576,NSW528795,5,fullLeaf,80,8871,9.86,144,4.8,108,3.6,11,3,13160,242,83,1,67,60,130,1100,2,1,1,1,0,0,NSW528795,Syzygium aqueum,Australia,-12.72,-12.72,143.25,2000
576,NSW528795,7,fullLeaf,73,14156,15.73,276,9.2,92,3.07,4,3,13160,242,83,1,108,113,111,400,4,1,1,1,0,0,NSW528795,Syzygium aqueum,Australia,-12.72,-12.72,143.25,2000
618,NSW528864,1,fullLeaf,96,7405,8.23,168,5.6,69,2.3,0,3,7828,176,72,0,95,95,96,0,93,1,1,1,0,0,NSW528864,Syzygium johnsonii,Australia,-17.425,-17.425,145.5917,1600
628,NSW528879,4,fullLeaf,92,12612,14.01,196,6.53,96,3.2,0,3,10733,184,91,0,118,107,105,0,84,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
803,NSW529199,6,fullLeaf,86,7195,7.99,136,4.53,76,2.53,21,3,7133,136,76,22,101,100,100,95,97,1,1,1,0,0,NSW529199,Syzygium macilwraithianum,Australia,-13.725,-13.725,143.3417,1600
918,NSW533060,4,fullLeaf,92,5553,6.17,140,4.67,60,2,8,3,5596,150,63,8,99,93,95,100,94,1,1,1,0,0,NSW533060,Syzygium papyraceum,Australia,-17.45,-17.45,145.65,
919,NSW533061,4,fullLeaf,83,3293,3.66,102,3.4,47,1.57,94,3,3441,112,47,90,96,91,100,104,94,1,1,1,0,0,NSW533061,Syzygium papyraceum,Australia,-17.45,-17.45,145.65,
920,NSW533063,1,fullLeaf,96,5957,6.62,154,5.13,59,1.97,1,3,6077,162,60,1,98,95,98,100,97,1,1,1,0,0,NSW533063,Syzygium papyraceum,Australia,-17.37,-17.37,145.77,
937,NSW592806,4,fullLeaf,76,13108,14.56,226,7.53,93,3.1,64,3,13043,232,89,61,100,97,104,105,94,1,1,1,0,0,NSW592806,Syzygium papyraceum,Australia,-17.38,-17.38,145.73,5000
956,NSW674489,3,fullLeaf,90,4270,4.74,126,4.2,60,2,106,3,4453,134,62,108,96,94,97,98,93,1,1,1,0,0,NSW674489,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
975,NSW739142,4,fullLeaf,90,23843,26.49,292,9.73,124,4.13,163,3,24052,318,125,163,99,92,99,100,97,1,1,1,0,0,NSW739142,Syzygium nervosum,Australia,-13.17,-13.17,130.12,2000
1021,NSW805304,1,fullLeaf,97,24057,26.73,268,8.93,132,4.4,11,3,24561,292,135,10,98,92,98,110,96,1,1,1,0,0,NSW805304,Syzygium,Papua New Guinea,-9.42,-9.42,147.5,10000
1063,NSW833597,1,fullLeaf,87,17823,19.8,230,7.67,115,3.83,119,3,18352,248,115,121,97,93,100,98,96,1,1,1,0,0,NSW833597,Syzygium,Papua New Guinea,,-7.245278,147.149444,100
1064,NSW833598,4,fullLeaf,90,16714,18.57,236,7.87,107,3.57,81,3,17037,240,111,80,98,98,96,101,96,1,1,1,0,0,NSW833598,Syzygium,Papua New Guinea,,-7.245278,147.149444,100
1072,NSW833663,3,fullLeaf,97,44816,49.8,392,13.07,155,5.17,70,3,46328,400,161,69,97,98,96,101,96,1,1,1,0,0,NSW833663,Syzygium,Papua New Guinea,-7.2453,-7.2453,147.1494,100
1090,NSW835279,2,fullLeaf,95,8781,9.76,156,5.2,79,2.63,8,3,9096,164,81,10,97,95,98,80,95,1,1,1,0,0,NSW835279,Syzygium minutuliflorum,Australia,-12.83,-12.83,132.92,
1092,NSW835456,3,fullLeaf,89,26926,29.92,330,11,135,4.5,99,3,25917,324,135,99,104,102,100,100,95,1,1,1,0,0,NSW835456,Syzygium nervosum,Australia,-12.42,-12.42,131.08,
1097,NSW835535,5,fullLeaf,95,9708,10.79,194,6.47,73,2.43,151,3,9579,210,75,150,101,92,97,101,94,1,1,1,0,0,NSW835535,Syzygium bungadinnia,Australia,-17.27,-17.27,145.48,
1119,NSW835752,1,fullLeaf,96,8146,9.05,164,5.47,76,2.53,137,3,7882,174,73,142,103,94,104,96,88,1,1,1,0,0,NSW835752,Syzygium ingens,Australia,-28.75,-28.75,153.5,
1122,NSW835952,1,fullLeaf,93,7754,8.62,168,5.6,79,2.63,122,3,8008,180,82,123,97,93,96,99,94,1,1,1,0,0,NSW835952,Syzygium fratris,Australia,-17.4,-17.4,145.8,
1162,NSW870241,6,fullLeaf,94,15565,17.29,248,8.27,92,3.07,151,3,15641,280,94,149,100,89,98,101,94,1,1,1,0,0,NSW870241,Syzygium,Papua New Guinea,-7.3036,-7.3036,147.1336,3
1186,NSW931006,4,fullLeaf,93,16676,18.53,250,8.33,101,3.37,27,3,16911,270,100,28,99,93,101,96,96,1,1,1,0,0,NSW931006,Syzygium,Papua New Guinea,-9.46127,-9.46127,147.645,
70,NSW129468,3,fullLeaf,87,14897,16.55,208,6.93,113,3.77,82,4,13383,212,96,83,111,98,118,99,87,1,1,1,0,0,NSW129468,Syzygium crebrinerve,Australia,-30.32,-30.32,152.72,25000
98,NSW129516,2,fullLeaf,94,4485,4.98,118,3.93,57,1.9,24,4,4556,116,62,22,98,102,92,109,94,1,1,1,0,0,NSW129516,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
99,NSW129517,1,fullLeaf,94,13816,15.35,254,8.47,79,2.63,139,4,13007,270,81,138,106,94,98,101,91,1,1,1,0,0,NSW129517,Syzygium ingens,Australia,-28.82,-28.82,153.3975,10000
101,NSW129519,1,fullLeaf,95,22183,24.65,360,12,94,3.13,164,4,23160,376,99,164,96,96,95,100,93,1,1,1,0,0,NSW129519,Syzygium ingens,Australia,-28.52,-28.52,153.45,10000
428,NSW475457,8,fullLeaf,90,4575,5.08,142,4.73,50,1.67,0,4,4491,146,49,0,102,97,102,0,92,1,1,1,0,0,NSW475457,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,1000
573,NSW528792,1,fullLeaf,97,18548,20.61,288,9.6,99,3.3,123,4,14292,276,90,129,130,104,110,95,76,1,1,1,0,0,NSW528792,Syzygium nervosum,Australia,-12.5,-12.5,131.48,2000
576,NSW528795,1,fullLeaf,89,22637,25.15,300,10,110,3.67,79,4,22527,312,111,78,100,96,99,101,93,1,1,1,0,0,NSW528795,Syzygium aqueum,Australia,-12.72,-12.72,143.25,2000
628,NSW528879,12,fullLeaf,71,9370,10.41,186,6.2,75,2.5,160,4,9111,176,80,157,103,106,94,102,87,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
803,NSW529199,5,fullLeaf,87,4468,4.96,104,3.47,61,2.03,107,4,4551,100,64,105,98,104,95,102,95,1,1,1,0,0,NSW529199,Syzygium macilwraithianum,Australia,-13.725,-13.725,143.3417,1600
918,NSW533060,7,fullLeaf,85,7232,8.04,146,4.87,72,2.4,47,4,7610,164,74,45,95,89,97,104,92,1,1,1,0,0,NSW533060,Syzygium papyraceum,Australia,-17.45,-17.45,145.65,
937,NSW592806,5,fullLeaf,73,4237,4.71,132,4.4,51,1.7,144,4,4366,134,54,141,97,99,94,102,94,1,1,1,0,0,NSW592806,Syzygium papyraceum,Australia,-17.38,-17.38,145.73,5000
955,NSW674488,2,fullLeaf,92,3116,3.46,98,3.27,52,1.73,40,4,3306,122,52,41,94,80,100,98,88,1,1,1,0,0,NSW674488,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
956,NSW674489,1,fullLeaf,92,6213,6.9,126,4.2,72,2.4,122,4,6790,160,78,119,92,79,92,103,91,1,1,1,0,0,NSW674489,Syzygium fratris,Australia,-17.3847,-17.3847,145.7964,100
975,NSW739142,2,fullLeaf,95,21221,23.58,258,8.6,120,4,107,4,21607,260,120,108,98,99,100,99,96,1,1,1,0,0,NSW739142,Syzygium nervosum,Australia,-13.17,-13.17,130.12,2000
1063,NSW833597,3,fullLeaf,79,28533,31.7,250,8.33,157,5.23,150,4,28866,262,157,149,99,95,100,101,97,1,1,1,0,0,NSW833597,Syzygium,Papua New Guinea,,-7.245278,147.149444,100
1072,NSW833663,1,fullLeaf,98,30289,33.65,354,11.8,124,4.13,22,4,31207,398,123,23,97,89,101,96,94,1,1,1,0,0,NSW833663,Syzygium,Papua New Guinea,-7.2453,-7.2453,147.1494,100
1090,NSW835279,4,fullLeaf,90,19975,22.19,240,8,125,4.17,108,4,19872,248,124,108,101,97,101,100,98,1,1,1,0,0,NSW835279,Syzygium minutuliflorum,Australia,-12.83,-12.83,132.92,
1097,NSW835535,1,fullLeaf,97,14192,15.77,238,7.93,88,2.93,130,4,14096,256,86,131,101,93,102,99,97,1,1,1,0,0,NSW835535,Syzygium bungadinnia,Australia,-17.27,-17.27,145.48,
1097,NSW835535,12,fullLeaf,79,9600,10.67,182,6.07,91,3.03,154,4,14096,256,86,131,68,71,106,118,1,1,1,1,0,0,NSW835535,Syzygium bungadinnia,Australia,-17.27,-17.27,145.48,
1119,NSW835752,2,fullLeaf,96,7416,8.24,168,5.6,66,2.2,138,4,7797,176,69,139,95,95,96,99,93,1,1,1,0,0,NSW835752,Syzygium ingens,Australia,-28.75,-28.75,153.5,
1162,NSW870241,11,fullLeaf,92,17473,19.41,276,9.2,96,3.2,26,4,17499,298,95,29,100,93,101,90,93,1,1,1,0,0,NSW870241,Syzygium,Papua New Guinea,-7.3036,-7.3036,147.1336,3
1162,NSW870241,16,fullLeaf,79,7096,7.88,198,6.6,56,1.87,46,4,17499,298,95,29,41,66,59,159,1,1,1,1,0,0,NSW870241,Syzygium,Papua New Guinea,-7.3036,-7.3036,147.1336,3
1186,NSW931006,7,fullLeaf,79,24925,27.69,302,10.07,123,4.1,104,4,24153,300,123,105,103,101,100,99,96,1,1,1,0,0,NSW931006,Syzygium,Papua New Guinea,-9.46127,-9.46127,147.645,
70,NSW129468,1,fullLeaf,89,15902,17.67,214,7.13,118,3.93,24,5,16854,242,118,26,94,88,100,92,94,1,1,1,0,0,NSW129468,Syzygium crebrinerve,Australia,-30.32,-30.32,152.72,25000
