ID,Genus species,Family,Area,Latitude,Longitude,MAT,MAP
1,Acer pensylvanicum,Sapindaceae,69.49,43.9,-71.75,5.6,1310
4,Acer rubrum,Sapindaceae,62.65,43.9,-71.75,5.6,1310
5,Acer saccharum,Sapindaceae,37.05,43.9,-71.75,5.6,1310
8,Betula alleghaniensis,Betulaceae,39.54,43.9,-71.75,5.6,1310
11,Betula papyrifera,Betulaceae,28.09,43.9,-71.75,5.6,1310
14,Fagus grandifolia,Fagaceae,54.56,43.9,-71.75,5.6,1310
17,Fraxinus americana,Oleaceae,18.26,43.9,-71.75,5.6,1310
20,Hamamelis virginiana,Hamamelidaceae,61.74,43.9,-71.75,5.6,1310
23,Ilex verticillata,Aquifoliaceae,6.93,43.9,-71.75,5.6,1310
26,Populus grandidentata,Salicaceae,25.74,43.9,-71.75,5.6,1310
29,Populus tremuloides,Salicaceae,14.73,43.9,-71.75,5.6,1310
32,Prunus pensylvanica,Rosaceae,16.92,43.9,-71.75,5.6,1310
35,Quercus rubra,Fagaceae,55.42,43.9,-71.75,5.6,1310
38,Tilia americana,Malvaceae,98.98,43.9,-71.75,5.6,1310
41,Vaccinium fuscatum,Ericaceae,11.37,43.9,-71.75,5.6,1310
44,Acer pensylvanicum,Sapindaceae,135.5,41.63,-71.751,7,1140
45,Acer rubrum,Sapindaceae,49.3,41.63,-71.751,7,1140
46,Acer saccharum,Sapindaceae,47.8,41.63,-71.751,7,1140
47,Acer spicatum,Sapindaceae,55.1,41.63,-71.751,7,1140
48,Amelanchier laevis,Rosaceae,24.4,41.63,-71.751,7,1140
49,Betula lenta,Betulaceae,49,41.63,-71.751,7,1140
50,Carpinus caroliniana,Betulaceae,26.3,41.63,-71.751,7,1140
51,Carya ovata,Juglandaceae,12.2,41.63,-71.751,7,1140
52,Clematis virginiana,Ranunculaceae,47.8,41.63,-71.751,7,1140
53,Comptonia peregrina,Myricaceae,5.5,41.63,-71.751,7,1140
54,Cornus amomum,Cornaceae,11.5,41.63,-71.751,7,1140
55,Crataegus sp55,Rosaceae,20.8,41.63,-71.751,7,1140
56,Dirca palustris,Thymelaeaceae,35.8,41.63,-71.751,7,1140
57,Fagus grandifolia,Fagaceae,47.5,41.63,-71.751,7,1140
58,Fraxinus americana,Oleaceae,23.4,41.63,-71.751,7,1140
59,Hamamelis virginiana,Hamamelidaceae,26.4,41.63,-71.751,7,1140
60,Kalmia latifolia,Ericaceae,16.9,41.63,-71.751,7,1140
61,Liriodendron tulipifera,Magnoliaceae,79.1,41.63,-71.751,7,1140
62,Magnolia acuminata,Magnoliaceae,264.3,41.63,-71.751,7,1140
63,Ostrya virginiana,Betulaceae,13.5,41.63,-71.751,7,1140
64,Populus grandidentata,Salicaceae,47,41.63,-71.751,7,1140
65,Populus tremuloides,Salicaceae,20.9,41.63,-71.751,7,1140
66,Prunus serotina,Rosaceae,12.9,41.63,-71.751,7,1140
67,Prunus virginiana,Rosaceae,9.3,41.63,-71.751,7,1140
68,Quercus alba,Fagaceae,39.1,41.63,-71.751,7,1140
69,Quercus michauxii,Fagaceae,61,41.63,-71.751,7,1140
70,Quercus rubra,Fagaceae,50.2,41.63,-71.751,7,1140
71,Rhododendron maximum,Ericaceae,56.1,41.63,-71.751,7,1140
72,Rhus typhina,Anacardiaceae,25.1,41.63,-71.751,7,1140
73,Rubus allegheniensis,Rosaceae,12.3,41.63,-71.751,7,1140
74,Rubus idaeus,Rosaceae,17.8,41.63,-71.751,7,1140
75,Rubus occidentalis,Rosaceae,8.1,41.63,-71.751,7,1140
76,Salix discolor,Salicaceae,21,41.63,-71.751,7,1140
77,Salix eriocephala,Salicaceae,19.8,41.63,-71.751,7,1140
78,Salix lucida,Salicaceae,23.3,41.63,-71.751,7,1140
79,Salix nigra,Salicaceae,6.8,41.63,-71.751,7,1140
80,Salix sericea,Salicaceae,8.7,41.63,-71.751,7,1140
81,Sambucus canadensis,Adoxaceae,9.1,41.63,-71.751,7,1140
82,Sambucus pubens,Adoxaceae,45.9,41.63,-71.751,7,1140
83,Sassafras albidum,Lauraceae,128.9,41.63,-71.751,7,1140
84,Tilia americana,Malvaceae,286.8,41.63,-71.751,7,1140
85,Ulmus americana,Ulmaceae,57,41.63,-71.751,7,1140
86,Ulmus rubra,Ulmaceae,63.8,41.63,-71.751,7,1140
87,Vaccinium angustifolium,Ericaceae,2.7,41.63,-71.751,7,1140
88,Vaccinium myrtilloides,Ericaceae,2.8,41.63,-71.751,7,1140
89,Viburnum cassinoides,Adoxaceae,26.9,41.63,-71.751,7,1140
90,Viburnum recognitum,Adoxaceae,20.2,41.63,-71.751,7,1140
91,Acer pensylvanicum,Sapindaceae,75.87,42.495,-74.138,7.2,1070
95,Acer rubrum,Sapindaceae,29.69,42.495,-74.138,7.2,1070
101,Acer saccharum,Sapindaceae,33.09,42.495,-74.138,7.2,1070
105,Amelanchier laevis,Rosaceae,18.88,42.495,-74.138,7.2,1070
111,Aronia arbutifolia,Rosaceae,13.81,42.495,-74.138,7.2,1070
117,Betula alleghaniensis,Betulaceae,30.12,42.495,-74.138,7.2,1070
123,Betula lenta,Betulaceae,26.61,42.495,-74.138,7.2,1070
129,Betula papyrifera,Betulaceae,36.05,42.495,-74.138,7.2,1070
135,Betula populifolia,Betulaceae,28.07,42.495,-74.138,7.2,1070
139,Castanea dentata,Fagaceae,87.73,42.495,-74.138,7.2,1070
144,Crataegus sp144,Rosaceae,8.97,42.495,-74.138,7.2,1070
147,Fagus grandifolia,Fagaceae,57.61,42.495,-74.138,7.2,1070
153,Fraxinus americana,Oleaceae,41.15,42.495,-74.138,7.2,1070
159,Hamamelis virginiana,Hamamelidaceae,44.16,42.495,-74.138,7.2,1070
161,Ilex verticillata,Aquifoliaceae,10.32,42.495,-74.138,7.2,1070
167,Kalmia latifolia,Ericaceae,11.87,42.495,-74.138,7.2,1070
173,Lyonia ligustrina,Ericaceae,15.26,42.495,-74.138,7.2,1070
179,Nemopanthus mucronatus,Aquifoliaceae,5.27,42.495,-74.138,7.2,1070
185,Nyssa sylvatica,Nyssaceae,20.5,42.495,-74.138,7.2,1070
191,Populus grandidentata,Salicaceae,43.29,42.495,-74.138,7.2,1070
197,Populus tremuloides,Salicaceae,30.7,42.495,-74.138,7.2,1070
203,Prunus serotina,Rosaceae,22.99,42.495,-74.138,7.2,1070
209,Quercus alba,Fagaceae,109.91,42.495,-74.138,7.2,1070
213,Quercus rubra,Fagaceae,79.47,42.495,-74.138,7.2,1070
218,Rhododendron prinophyllum,Ericaceae,7.58,42.495,-74.138,7.2,1070
221,Vaccinium corymbosum,Ericaceae,17.32,42.495,-74.138,7.2,1070
227,Viburnum recognitum,Adoxaceae,42.35,42.495,-74.138,7.2,1070
236,Acer pensylvanicum,Sapindaceae,169.63,42.51,-74.138,7.6,880
239,Acer rubrum,Sapindaceae,43.36,42.51,-74.138,7.6,880
242,Acer saccharum,Sapindaceae,34.63,42.51,-74.138,7.6,880
245,Betula alleghaniensis,Betulaceae,16.53,42.51,-74.138,7.6,880
248,Betula papyrifera,Betulaceae,5.66,42.51,-74.138,7.6,880
249,Betula populifolia,Betulaceae,8.87,42.51,-74.138,7.6,880
252,Carpinus caroliniana,Betulaceae,25.38,42.51,-74.138,7.6,880
253,Carya ovata,Juglandaceae,60.87,42.51,-74.138,7.6,880
256,Fagus grandifolia,Fagaceae,27.95,42.51,-74.138,7.6,880
259,Fraxinus americana,Oleaceae,18.31,42.51,-74.138,7.6,880
262,Fraxinus pennsylvanica,Oleaceae,44.87,42.51,-74.138,7.6,880
265,Hamamelis virginiana,Hamamelidaceae,37.88,42.51,-74.138,7.6,880
268,Ostrya virginiana,Betulaceae,23.28,42.51,-74.138,7.6,880
271,Populus tremuloides,Salicaceae,13.48,42.51,-74.138,7.6,880
274,Prunus serotina,Rosaceae,18.52,42.51,-74.138,7.6,880
277,Quercus rubra,Fagaceae,28.82,42.51,-74.138,7.6,880
278,Salix discolor,Salicaceae,15.26,42.51,-74.138,7.6,880
281,Sambucus pubens,Adoxaceae,23.1,42.51,-74.138,7.6,880
284,Tilia americana,Malvaceae,130.01,42.51,-74.138,7.6,880
286,Ulmus americana,Ulmaceae,43.11,42.51,-74.138,7.6,880
289,Vaccinium sp289,Ericaceae,4.85,42.51,-74.138,7.6,880
292,Viburnum sp292,Adoxaceae,16.16,42.51,-74.138,7.6,880
295,Viburnum sp295,Adoxaceae,38.11,42.51,-74.138,7.6,880
298,Acer negundo,Sapindaceae,18.47,41.8,-73.75,9.5,1090
301,Acer pensylvanicum,Sapindaceae,122.05,41.8,-73.75,9.5,1090
304,Acer rubrum,Sapindaceae,40.63,41.8,-73.75,9.5,1090
307,Acer saccharum,Sapindaceae,97.23,41.8,-73.75,9.5,1090
310,Betula lenta,Betulaceae,31.32,41.8,-73.75,9.5,1090
313,Betula populifolia,Betulaceae,12.67,41.8,-73.75,9.5,1090
316,Carpinus caroliniana,Betulaceae,21.33,41.8,-73.75,9.5,1090
319,Carya glabra,Juglandaceae,30.47,41.8,-73.75,9.5,1090
322,Carya alba,Juglandaceae,69.94,41.8,-73.75,9.5,1090
325,Cornus florida,Cornaceae,32.04,41.8,-73.75,9.5,1090
328,Cornus amomum subsp. obliqua,Cornaceae,8.49,41.8,-73.75,9.5,1090
331,Fagus grandifolia,Fagaceae,41.2,41.8,-73.75,9.5,1090
334,Fraxinus sp334,Oleaceae,47.53,41.8,-73.75,9.5,1090
337,Fraxinus sp337,Oleaceae,38.67,41.8,-73.75,9.5,1090
340,Hamamelis virginiana,Hamamelidaceae,80.78,41.8,-73.75,9.5,1090
343,Ilex verticillata,Aquifoliaceae,11.87,41.8,-73.75,9.5,1090
346,Juglans nigra,Juglandaceae,22.93,41.8,-73.75,9.5,1090
349,Liriodendron tulipifera,Magnoliaceae,163.76,41.8,-73.75,9.5,1090
352,Ostrya virginiana,Betulaceae,26.11,41.8,-73.75,9.5,1090
355,Platanus occidentalis,Platanaceae,216.56,41.8,-73.75,9.5,1090
357,Populus grandidentata,Salicaceae,45.34,41.8,-73.75,9.5,1090
360,Populus tremuloides,Salicaceae,20.62,41.8,-73.75,9.5,1090
363,Prunus serotina,Rosaceae,20.21,41.8,-73.75,9.5,1090
366,Quercus alba,Fagaceae,45.66,41.8,-73.75,9.5,1090
369,Quercus michauxii,Fagaceae,86.88,41.8,-73.75,9.5,1090
372,Quercus rubra,Fagaceae,66.55,41.8,-73.75,9.5,1090
375,Robinia sp375,Fabaceae,6.66,41.8,-73.75,9.5,1090
378,Salix lucida,Salicaceae,4.89,41.8,-73.75,9.5,1090
381,Sassafras albidum,Lauraceae,65.58,41.8,-73.75,9.5,1090
384,Tilia americana,Malvaceae,114.15,41.8,-73.75,9.5,1090
387,Ulmus americana,Ulmaceae,28.73,41.8,-73.75,9.5,1090
390,Acer rubrum,Sapindaceae,27.71,41.53,-72.744,10.2,1210
393,Acer saccharum,Sapindaceae,40.72,41.53,-72.744,10.2,1210
396,Betula alleghaniensis,Betulaceae,28.5,41.53,-72.744,10.2,1210
399,Betula lenta,Betulaceae,44.42,41.53,-72.744,10.2,1210
402,(u_Betulaceae sp402,Betulaceae,35.52,41.53,-72.744,10.2,1210
405,Carpinus caroliniana,Betulaceae,26.76,41.53,-72.744,10.2,1210
408,Carya glabra,Juglandaceae,34.06,41.53,-72.744,10.2,1210
411,Carya alba,Juglandaceae,54.79,41.53,-72.744,10.2,1210
414,Cornus florida,Cornaceae,28.42,41.53,-72.744,10.2,1210
417,Fagus grandifolia,Fagaceae,51.6,41.53,-72.744,10.2,1210
420,Fraxinus americana,Oleaceae,31.22,41.53,-72.744,10.2,1210
423,Hamamelis virginiana,Hamamelidaceae,47.87,41.53,-72.744,10.2,1210
426,Ilex verticillata,Aquifoliaceae,9.69,41.53,-72.744,10.2,1210
429,Kalmia latifolia,Ericaceae,5.28,41.53,-72.744,10.2,1210
432,Lindera benzoin,Lauraceae,36.01,41.53,-72.744,10.2,1210
435,Liriodendron tulipifera,Magnoliaceae,50.14,41.53,-72.744,10.2,1210
438,Nyssa sylvatica,Nyssaceae,30.67,41.53,-72.744,10.2,1210
441,Ostrya virginiana,Betulaceae,18.1,41.53,-72.744,10.2,1210
444,Populus grandidentata,Salicaceae,39.62,41.53,-72.744,10.2,1210
447,Quercus alba,Fagaceae,64.58,41.53,-72.744,10.2,1210
450,Quercus michauxii,Fagaceae,58.5,41.53,-72.744,10.2,1210
453,Quercus velutina,Fagaceae,42.7,41.53,-72.744,10.2,1210
456,Rhododendron periclymenoides,Ericaceae,13.16,41.53,-72.744,10.2,1210
459,Rhododendron sp459,Ericaceae,17.21,41.53,-72.744,10.2,1210
462,Sassafras albidum,Lauraceae,57.35,41.53,-72.744,10.2,1210
465,Vaccinium corymbosum,Ericaceae,12.94,41.53,-72.744,10.2,1210
468,Acer pensylvanicum,Sapindaceae,108.36,40.63,-75.98,10.8,1160
470,Acer rubrum,Sapindaceae,43.5,40.63,-75.98,10.8,1160
473,Amelanchier arborea,Rosaceae,30.45,40.63,-75.98,10.8,1160
476,Carpinus caroliniana,Betulaceae,27.4,40.63,-75.98,10.8,1160
479,Carya glabra var. odorata,Juglandaceae,40.71,40.63,-75.98,10.8,1160
482,Castanea dentata,Fagaceae,60.19,40.63,-75.98,10.8,1160
485,Hamamelis virginiana,Hamamelidaceae,35.06,40.63,-75.98,10.8,1160
488,Kalmia latifolia,Ericaceae,14.52,40.63,-75.98,10.8,1160
491,Ledum palustre subsp. groenlandicum,Ericaceae,11.9,40.63,-75.98,10.8,1160
494,Liriodendron tulipifera,Magnoliaceae,85.2,40.63,-75.98,10.8,1160
496,Nyssa sylvatica,Nyssaceae,40.25,40.63,-75.98,10.8,1160
499,Ostrya virginiana,Betulaceae,41.47,40.63,-75.98,10.8,1160
501,Populus grandidentata,Salicaceae,35.67,40.63,-75.98,10.8,1160
504,Prunus pensylvanica,Rosaceae,37.01,40.63,-75.98,10.8,1160
507,Prunus serotina,Rosaceae,20.61,40.63,-75.98,10.8,1160
510,Quercus alba,Fagaceae,42.34,40.63,-75.98,10.8,1160
513,Quercus coccinea,Fagaceae,160.05,40.63,-75.98,10.8,1160
515,Quercus palustris,Fagaceae,74.77,40.63,-75.98,10.8,1160
518,Quercus michauxii,Fagaceae,58.08,40.63,-75.98,10.8,1160
521,Rhododendron maximum,Ericaceae,25.71,40.63,-75.98,10.8,1160
524,Sassafras albidum,Lauraceae,93.46,40.63,-75.98,10.8,1160
527,Sorbus americana,Rosaceae,11.95,40.63,-75.98,10.8,1160
530,Vaccinium corymbosum,Ericaceae,2.65,40.63,-75.98,10.8,1160
533,Vitis aestivalis_cf,Vitaceae,134.5,40.63,-75.98,10.8,1160
534,Acer negundo,Sapindaceae,25.7,39.92,-76.75,11.9,1030
535,Acer rubrum,Sapindaceae,76.7,39.92,-76.75,11.9,1030
536,Acer saccharinum,Sapindaceae,45.3,39.92,-76.75,11.9,1030
537,Alnus serrulata,Betulaceae,30,39.92,-76.75,11.9,1030
538,Amelanchier laevis,Rosaceae,9.8,39.92,-76.75,11.9,1030
539,Amorpha fruticosa,Fabaceae,3,39.92,-76.75,11.9,1030
540,Aronia arbutifolia,Rosaceae,14.7,39.92,-76.75,11.9,1030
541,Asimina triloba,Annonaceae,68.1,39.92,-76.75,11.9,1030
542,Betula lenta,Betulaceae,53.1,39.92,-76.75,11.9,1030
543,Betula nigra,Betulaceae,21.3,39.92,-76.75,11.9,1030
544,Carya cordiformis,Juglandaceae,11.6,39.92,-76.75,11.9,1030
545,Carya glabra,Juglandaceae,35,39.92,-76.75,11.9,1030
546,Carya laciniosa,Juglandaceae,23.4,39.92,-76.75,11.9,1030
547,Carya glabra var. odorata,Juglandaceae,15.7,39.92,-76.75,11.9,1030
548,Carya ovata,Juglandaceae,12.3,39.92,-76.75,11.9,1030
549,Carya alba,Juglandaceae,38.8,39.92,-76.75,11.9,1030
550,Castanea dentata,Fagaceae,124,39.92,-76.75,11.9,1030
551,Celtis occidentalis,Cannabaceae,34.8,39.92,-76.75,11.9,1030
552,Cornus amomum,Cornaceae,5.7,39.92,-76.75,11.9,1030
553,Cornus florida,Cornaceae,39.6,39.92,-76.75,11.9,1030
554,Fagus grandifolia,Fagaceae,30.4,39.92,-76.75,11.9,1030
555,Fraxinus americana,Oleaceae,26,39.92,-76.75,11.9,1030
556,Hamamelis virginiana,Hamamelidaceae,43.7,39.92,-76.75,11.9,1030
557,Hydrangea arborescens,Hydrangeaceae,43.2,39.92,-76.75,11.9,1030
558,Ilex verticillata,Aquifoliaceae,28.8,39.92,-76.75,11.9,1030
559,Kalmia latifolia,Ericaceae,14.4,39.92,-76.75,11.9,1030
560,Lindera benzoin,Lauraceae,15.6,39.92,-76.75,11.9,1030
561,Liriodendron tulipifera,Magnoliaceae,35.8,39.92,-76.75,11.9,1030
562,Nyssa sylvatica,Nyssaceae,35.9,39.92,-76.75,11.9,1030
563,Parthenocissus quinquefolia,Vitaceae,27.2,39.92,-76.75,11.9,1030
564,Platanus occidentalis,Platanaceae,166.6,39.92,-76.75,11.9,1030
565,Populus grandidentata,Salicaceae,59.2,39.92,-76.75,11.9,1030
566,Prunus serotina,Rosaceae,16.1,39.92,-76.75,11.9,1030
567,Quercus alba,Fagaceae,59.5,39.92,-76.75,11.9,1030
568,Quercus coccinea,Fagaceae,45.2,39.92,-76.75,11.9,1030
569,Quercus michauxii,Fagaceae,44.8,39.92,-76.75,11.9,1030
570,Quercus rubra,Fagaceae,90.8,39.92,-76.75,11.9,1030
571,Quercus velutina,Fagaceae,277.6,39.92,-76.75,11.9,1030
572,Rhododendron periclymenoides,Ericaceae,6.8,39.92,-76.75,11.9,1030
573,Rhus typhina,Anacardiaceae,16.5,39.92,-76.75,11.9,1030
574,Robinia pseudoacacia,Fabaceae,15,39.92,-76.75,11.9,1030
575,Rubus allegheniensis,Rosaceae,7.4,39.92,-76.75,11.9,1030
576,Rubus idaeus,Rosaceae,16.3,39.92,-76.75,11.9,1030
577,Rubus sp577,Rosaceae,9.5,39.92,-76.75,11.9,1030
578,Salix eriocephala,Salicaceae,8.7,39.92,-76.75,11.9,1030
579,Salix nigra,Salicaceae,5.2,39.92,-76.75,11.9,1030
580,Sambucus canadensis,Adoxaceae,6.5,39.92,-76.75,11.9,1030
581,Sassafras albidum,Lauraceae,28.2,39.92,-76.75,11.9,1030
582,Smilax rotundifolia,Smilacaceae,64.8,39.92,-76.75,11.9,1030
583,Tilia americana,Malvaceae,168.5,39.92,-76.75,11.9,1030
585,Vaccinium corymbosum,Ericaceae,6.7,39.92,-76.75,11.9,1030
586,Viburnum acerifolium,Adoxaceae,27.2,39.92,-76.75,11.9,1030
587,Viburnum recognitum,Adoxaceae,5.4,39.92,-76.75,11.9,1030
588,Vitis aestivalis,Vitaceae,79.3,39.92,-76.75,11.9,1030
589,Vitis vulpina,Vitaceae,82.8,39.92,-76.75,11.9,1030
590,Acer negundo,Sapindaceae,25.8,38.87,-76.55,12.8,1130
593,Acer rubrum,Sapindaceae,83.82,38.87,-76.55,12.8,1130
595,Carpinus caroliniana,Betulaceae,18.54,38.87,-76.55,12.8,1130
598,Carya alba,Juglandaceae,71.07,38.87,-76.55,12.8,1130
601,Celtis laevigata,Cannabaceae,13.58,38.87,-76.55,12.8,1130
604,Cornus florida,Cornaceae,29.33,38.87,-76.55,12.8,1130
607,Diospyros virginiana,Ebenaceae,19.36,38.87,-76.55,12.8,1130
610,Fagus grandifolia,Fagaceae,36.74,38.87,-76.55,12.8,1130
613,Ilex opaca,Aquifoliaceae,12.19,38.87,-76.55,12.8,1130
616,Juglans nigra,Juglandaceae,34.95,38.87,-76.55,12.8,1130
618,Lindera benzoin,Lauraceae,22.31,38.87,-76.55,12.8,1130
621,Liquidambar styraciflua,Altingiaceae,85.17,38.87,-76.55,12.8,1130
624,Liriodendron tulipifera,Magnoliaceae,131.31,38.87,-76.55,12.8,1130
627,Nyssa sylvatica,Nyssaceae,28.4,38.87,-76.55,12.8,1130
630,Nyssa aquatica,Nyssaceae,49.68,38.87,-76.55,12.8,1130
633,Platanus occidentalis,Platanaceae,281.97,38.87,-76.55,12.8,1130
635,Prunus avium,Rosaceae,31.78,38.87,-76.55,12.8,1130
638,Prunus serotina,Rosaceae,17.74,38.87,-76.55,12.8,1130
641,Quercus alba,Fagaceae,44.79,38.87,-76.55,12.8,1130
644,Quercus palustris,Fagaceae,26.5,38.87,-76.55,12.8,1130
647,Quercus rubra,Fagaceae,26.3,38.87,-76.55,12.8,1130
648,Sassafras albidum,Lauraceae,48.5,38.87,-76.55,12.8,1130
651,Tilia americana,Malvaceae,83.64,38.87,-76.55,12.8,1130
654,Ulmus americana,Ulmaceae,84.29,38.87,-76.55,12.8,1130
657,Viburnum lentago,Adoxaceae,16.66,38.87,-76.55,12.8,1130
660,Acer rubrum,Sapindaceae,26.28,35.97,-79.09,15.2,1110
666,Carya glabra,Juglandaceae,42.66,35.97,-79.09,15.2,1110
678,Cercis canadensis,Fabaceae,71.61,35.97,-79.09,15.2,1110
684,Chionanthus virginicus,Oleaceae,85.83,35.97,-79.09,15.2,1110
690,Cornus florida,Cornaceae,43.02,35.97,-79.09,15.2,1110
694,Fagus grandifolia,Fagaceae,39.64,35.97,-79.09,15.2,1110
700,Fraxinus americana,Oleaceae,19.57,35.97,-79.09,15.2,1110
706,Ilex decidua,Aquifoliaceae,6.51,35.97,-79.09,15.2,1110
712,Ilex opaca,Aquifoliaceae,10.26,35.97,-79.09,15.2,1110
718,Liquidambar styraciflua,Altingiaceae,40.14,35.97,-79.09,15.2,1110
724,Liriodendron tulipifera,Magnoliaceae,142.3,35.97,-79.09,15.2,1110
730,Morus rubra,Moraceae,82.88,35.97,-79.09,15.2,1110
736,Nyssa aquatica,Nyssaceae,44.26,35.97,-79.09,15.2,1110
742,Ostrya virginiana,Betulaceae,17.03,35.97,-79.09,15.2,1110
748,Oxydendrum arboreum,Ericaceae,21.63,35.97,-79.09,15.2,1110
754,Prunus serotina,Rosaceae,30.42,35.97,-79.09,15.2,1110
760,Quercus alba,Fagaceae,47.64,35.97,-79.09,15.2,1110
772,Quercus coccinea,Fagaceae,140.14,35.97,-79.09,15.2,1110
778,Quercus michauxii,Fagaceae,86.78,35.97,-79.09,15.2,1110
784,Quercus phellos,Fagaceae,12.31,35.97,-79.09,15.2,1110
790,Quercus stellata,Fagaceae,97.89,35.97,-79.09,15.2,1110
793,Rhus copallinum,Anacardiaceae,13.6,35.97,-79.09,15.2,1110
799,Symphoricarpos sp799,Caprifoliaceae,3.59,35.97,-79.09,15.2,1110
805,Ulmus alata,Ulmaceae,15.9,35.97,-79.09,15.2,1110
811,Vaccinium corymbosum,Ericaceae,9.53,35.97,-79.09,15.2,1110
817,Viburnum rafinesquianum,Adoxaceae,7.94,35.97,-79.09,15.2,1110
823,Vitis rupestris,Vitaceae,37.95,35.97,-79.09,15.2,1110
829,Acer rubrum,Sapindaceae,26.47,34.33,-79.28,16.9,1150
832,Betula nigra,Betulaceae,17.39,34.33,-79.28,16.9,1150
835,Campsis radicans,Bignoniaceae,27.47,34.33,-79.28,16.9,1150
836,Chionanthus virginicus,Oleaceae,51.62,34.33,-79.28,16.9,1150
839,Clethra sp839,Clethraceae,8.7,34.33,-79.28,16.9,1150
842,Crataegus sp842,Rosaceae,5.59,34.33,-79.28,16.9,1150
844,Halesia sp844,Styracaceae,18.54,34.33,-79.28,16.9,1150
847,Ilex decidua,Aquifoliaceae,1.45,34.33,-79.28,16.9,1150
850,Ilex opaca,Aquifoliaceae,19.34,34.33,-79.28,16.9,1150
853,Liquidambar styraciflua,Altingiaceae,29.45,34.33,-79.28,16.9,1150
855,Lyonia lucida,Ericaceae,16.31,34.33,-79.28,16.9,1150
858,Lyonia cf_mariana,Ericaceae,7.53,34.33,-79.28,16.9,1150
861,Magnolia virginiana,Magnoliaceae,29.09,34.33,-79.28,16.9,1150
864,Morella cerifera,Myricaceae,4.85,34.33,-79.28,16.9,1150
867,Nyssa sylvatica,Nyssaceae,7.58,34.33,-79.28,16.9,1150
870,Persea borbonia,Lauraceae,24.29,34.33,-79.28,16.9,1150
873,Quercus cf_alba,Fagaceae,44.87,34.33,-79.28,16.9,1150
876,Quercus hemisphaerica,Fagaceae,4.64,34.33,-79.28,16.9,1150
879,Quercus laevis,Fagaceae,89.42,34.33,-79.28,16.9,1150
882,Quercus nigra,Fagaceae,17.65,34.33,-79.28,16.9,1150
885,Quercus phellos,Fagaceae,5.56,34.33,-79.28,16.9,1150
888,Rhus copallinum,Anacardiaceae,5.04,34.33,-79.28,16.9,1150
891,Spiraea sp891,Rosaceae,2.01,34.33,-79.28,16.9,1150
894,Spiraea sp894,Rosaceae,10.8,34.33,-79.28,16.9,1150
897,Symplocos tinctoria,Symplocaceae,20.19,34.33,-79.28,16.9,1150
900,Vaccinium elliotti_cf,Ericaceae,1.3,34.33,-79.28,16.9,1150
903,Vaccinium sp903,Ericaceae,6.36,34.33,-79.28,16.9,1150
906,Acer rubrum,Sapindaceae,12,31.86,-82.11,19.5,1190
909,Amorpha sp909,Fabaceae,6.11,31.86,-82.11,19.5,1190
912,Berchemia scandens,Rhamnaceae,8.58,31.86,-82.11,19.5,1190
915,Betula nigra,Betulaceae,10.4,31.86,-82.11,19.5,1190
918,Campsis radicans,Bignoniaceae,22.5,31.86,-82.11,19.5,1190
921,Carpinus caroliniana,Betulaceae,10.08,31.86,-82.11,19.5,1190
924,Carya illinoinensis,Juglandaceae,27.3,31.86,-82.11,19.5,1190
927,Crataegus sp927,Rosaceae,6.1,31.86,-82.11,19.5,1190
930,Crataegus sp930,Rosaceae,5.48,31.86,-82.11,19.5,1190
933,Fraxinus pennsylvanica,Oleaceae,28.94,31.86,-82.11,19.5,1190
936,Ilex decidua,Aquifoliaceae,4.4,31.86,-82.11,19.5,1190
939,Ilex opaca,Aquifoliaceae,16.88,31.86,-82.11,19.5,1190
942,Liquidambar styraciflua,Altingiaceae,16.75,31.86,-82.11,19.5,1190
945,Morus rubra,Moraceae,151.08,31.86,-82.11,19.5,1190
948,Nyssa aquatica,Nyssaceae,56.02,31.86,-82.11,19.5,1190
951,Ostrya virginiana,Betulaceae,7.72,31.86,-82.11,19.5,1190
954,Prunus serotina,Rosaceae,7.11,31.86,-82.11,19.5,1190
957,Quercus cf_licifolia,Fagaceae,54.28,31.86,-82.11,19.5,1190
960,Quercus laurifolia,Fagaceae,7.35,31.86,-82.11,19.5,1190
963,Quercus lyrata_cf,Fagaceae,51.63,31.86,-82.11,19.5,1190
966,Quercus michauxii,Fagaceae,71.5,31.86,-82.11,19.5,1190
969,Quercus nigra,Fagaceae,11.35,31.86,-82.11,19.5,1190
972,Quercus phellos_cf,Fagaceae,22.21,31.86,-82.11,19.5,1190
975,Ulmus alata,Ulmaceae,8.72,31.86,-82.11,19.5,1190
978,Vaccinium corymbosum,Ericaceae,1.91,31.86,-82.11,19.5,1190
981,Vitis rupestris,Vitaceae,33.08,31.86,-82.11,19.5,1190
984,Acer rubrum,Sapindaceae,17.32,29.6,-82.2,20.6,1260
987,Callicarpa americana,Lamiaceae,47.18,29.6,-82.2,20.6,1260
990,Carpinus caroliniana,Betulaceae,5.3,29.6,-82.2,20.6,1260
993,Carya glabra,Juglandaceae,20.07,29.6,-82.2,20.6,1260
996,Gordonia lasianthus,Theaceae,35.6,29.6,-82.2,20.6,1260
999,Hamamelis virginiana,Hamamelidaceae,36.24,29.6,-82.2,20.6,1260
1002,Ilex coriacea,Aquifoliaceae,24.39,29.6,-82.2,20.6,1260
1005,Ilex opaca,Aquifoliaceae,9.85,29.6,-82.2,20.6,1260
1008,Liquidambar styraciflua,Altingiaceae,23.16,29.6,-82.2,20.6,1260
